Название,Активность,ID,Внешний код,Основное изображение (новый),Основное изображение
Кресло-коляска с санитарным оснащением для инвалидов Armed H 021B,Да,41381,5b2360e3-9675-4871-aedc-fd744c47e761,,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/H021B/H021B.jpg
"Комплект для мытья головы ""Armed"": ванна надувная, емкость для воды, защитный фартук",Да,41385,e0959f3e-2a5f-11e2-aefd-00259018c255,,https://www.armed.ru/images/catalog/FOTO mini/white/4/Vanna dlya gogovu/Ванна_для_мытья_головы.jpg
Кресло-коляска для инвалидов 1100,Да,41410,e1196236-b944-430f-b06a-bb4d51d34d8a,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/1100/1100.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/1100/1100.jpg
Кресло-коляска для инвалидов Armed FS212BCEG,Да,41416,08af3704-8221-11e1-b15c-00215ad3d1e3,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/FS212BCEG/FS212BCEG.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/FS212BCEG/FS212BCEG.jpg
Вентилятор для облучателя-рециркулятора СH211-115 (металический корпус),Да,41417,0f6b878e-e46e-11e2-b178-00259018c255,,https://www.armed.ru/images/catalog/zapchasti/рециркулятор/211-115/вентилятор-для-рециркулятора-СН-211-металл.jpg
Вентилятор для облучателя-рециркулятора СH211-115 (пластиковый корпус),Да,41418,0f6b8793-e46e-11e2-b178-00259018c255,,
Вентилятор для облучателя-рециркулятора СH111-115 (пластиковый корпус),Да,41419,0f6b8799-e46e-11e2-b178-00259018c255,,https://www.armed.ru/images/catalog/zapchasti/рециркулятор/СН111-115/вентилятор-для-CH111-пластик.jpg
Вентилятор для облучателя-рециркулятора СH311-115 (пластиковый корпус),Да,41420,38a0f54c-e478-11e2-b178-00259018c255,,
Колесо переднее для кресла-коляски 2000,Да,41428,9c86a474-f058-11e2-b22e-00259018c255,,
Колесо заднее для коляски FS111A,Да,41431,9691529f-2cba-11e3-b264-000c290eb93d,,https://www.armed.ru/images/catalog/zapchasti/Технические средства реабилитации/коляски/FS111A/колесо для инвалидного кресла А25 (заднее к FS111A).jpg
Смесь пищевая - Композиция для кислородных коктейлей (№21),Да,41456,2ac2198a-a66f-45e8-b849-eb3e9b4ee9b0,https://www.armed.ru/images/catalog/FOTO mini/white/1/kislorod/Smesi/21/no21я.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/kislorod/Smesi/21/no21я.jpg
Кресло-коляска для инвалидов H 002 (20 дюймов),Да,41458,c0556a64-f4ea-498b-b8c2-e3095723a14b,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/H002 (20)/002-20.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/H002 (20)/002-20.jpg
"Специальное оборудование для туалетных комнат ""Armed"" FS: доска",Да,41460,9132fde8-8fef-40ca-b9e2-c24b2d1cce3b,https://www.armed.ru/images/catalog/FOTO mini/white/4/doska FS/DSCF3635.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/4/doska FS/DSCF3635.jpg
Джойстик к коляске FS108LA,Да,41461,587f04da-ae50-11e2-ba35-00259018c255,,https://www.armed.ru/images/catalog/zapchasti/Технические средства реабилитации/коляски/FS108LA/Джойстик к эл.коляске FS108LA.jpg
"Кресло-коляска для инвалидов электрическая ""Armed"" FS123-43",Да,41491,bec14c38-e48f-11e2-b178-00259018c255,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/FS123-43/FS123-43.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/FS123-43/FS123-43.jpg
Щетки электродвигателя к центрифуге 80-2S,Да,41028,ea591335-6363-11e5-9425-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/zapchasti/центрифуги/щетки для электродвигателя к 80-2S.jpg
"Стул для ванны т.м. ""Armed"" B502",Да,41029,d2e84685-6769-11e5-9425-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/4/tabyret/B502/DSC_1649.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/4/tabyret/B502/DSC_1649.jpg
Средство реабилитации инвалидов: трость Armed FS927L (с УПС),Да,41030,9153be08-6db7-11e5-9425-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/3/trosti/927 s yps/927.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/trosti/927 s yps/927.jpg
Мебель для медицинских учреждений: стойка приборная Спя-4,Да,41058,5993c734-c3ed-11e5-9425-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/1/dezinfekciya/Спя-4/spya4_osn.jpg
Средство реабилитации инвалидов: трость Armed FS910L (с УПС),Да,41064,c18ac46f-dfa4-11e5-9427-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/3/trosti/910 s yps/910.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/trosti/910 s yps/910.jpg
Скутер четырехколесный с электрическим приводом JRWB801,Да,41065,03e7a2ea-acd9-11e6-942d-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/Skyter/скутер.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/Skyter/скутер.jpg
Мебель для медицинских учреждений: стойка приборная Спя-1,Да,41069,704a11ca-9cef-11e6-942c-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/1/dezinfekciya/Спя-1/Спя-1.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/dezinfekciya/Спя-1/Спя-1.jpg
Мебель для медицинских учреждений: стойка приборная Спя-5,Да,41118,732e8a1c-2657-11e6-9427-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/1/dezinfekciya/Спя-5/Спя-5.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/dezinfekciya/Спя-5/Спя-5.jpg
С 2706 Силиконовый плоский межпальцевый вкладыш,Да,41153,b24cb4e1-a81d-11e6-942c-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/3/ortez/C2706.jpg
С 3014 Отводящий корректор первого пальца стопы с шарниром,Да,41154,a254d3c1-a81f-11e6-942c-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/3/ortez/C3014.jpg
Прибор для измерения артериального давления и частоты пульса электронный (тонометр) «Armed» YE-660D (с адаптером),Да,41167,d88f7a7c-e30e-11e6-942e-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/4/tonometr/660D/1.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/4/tonometr/660D/1.jpg
"Прибор для измерения артериального давления и частоты пульса электронный (тонометр) «Armed» YE-660Е (с речевым выходом, с адаптером)",Да,41168,f886e749-e30e-11e6-942e-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/4/tonometr/660Е/17-03-13-Armed-0295.jpg
Средство реабилитации инвалидов: трость Armed FS9306L (с УПС),Да,41169,822b36a5-e30f-11e6-942e-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/3/trosti/9306/9306.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/trosti/9306/9306.jpg
Штатив для светильника ZMD,Да,41213,709e11c3-c9bb-11e2-9c34-00259018c255,,
Штатив от светильника L739,Да,41214,a6493d35-c9e6-11e2-9c34-00259018c255,,
Штатив для светильника 6612,Да,41217,a6493d4a-c9e6-11e2-9c34-00259018c255,,
Купол большой для светильника 6612 с пультом,Да,41218,a6493d4f-c9e6-11e2-9c34-00259018c255,,
Штатив для светильника 6612 с пультом,Да,41220,a6493d59-c9e6-11e2-9c34-00259018c255,,
Штатив от светильника 735,Да,41222,0afad29f-c9e9-11e2-9c34-00259018c255,,
"Увлажнитель воздуха, модель InH2",Да,41274,0a01044c-1e7c-11e6-9427-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/1/kislorod/yvlagnitel Inh2/увл.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/kislorod/yvlagnitel Inh2/увл.jpg
Мебель для медицинских учреждений: стойка приборная Спя-1 (оранжевая),Да,41283,665cdae9-1879-11e7-942e-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/1/dezinfekciya/Спя-1 оранжевая/СПЯ-1_оранж_0006.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/dezinfekciya/Спя-1 оранжевая/СПЯ-1_оранж_0006.jpg
Мебель для медицинских учреждений: стойка приборная Спя-1 (зеленая),Да,41284,626641b9-b6dd-11e6-942d-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/1/dezinfekciya/Спя-1 зеленая/СПЯ-1_зел_0006.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/dezinfekciya/Спя-1 зеленая/СПЯ-1_зел_0006.jpg
Стойка для подтягивания СдП,Да,41514,8f622020-a810-11e6-942c-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/2/Sopyt tovar/Stoika SDP/DSC_6188.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/2/Sopyt tovar/Stoika SDP/DSC_6188.jpg
Подставка под пульсоксиметр БОЛЬШАЯ,Да,41027,2375224e-6050-11e5-9425-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/5/Podstavka puls bolshaya/Bolshaya1.jpg
Кресло-коляска с санитарным оснащением для инвалидов «Armed»: FS693,Да,41039,faff9256-71bb-11e5-9425-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/FS696/696.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/FS696/696.jpg
Пульсоксиметр напалечный серии MD300C: MD300C2 с принадлежностями,Да,41043,5e7a0569-8481-11e5-9425-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/1/kislorod/Pulsoksimetr/MD300C2/MD300C2.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/kislorod/Pulsoksimetr/MD300C2/MD300C2 new.JPG
Пульсоксиметр напалечный серии MD300C: MD300C12 с принадлежностями,Да,41044,8a65a6dd-8481-11e5-9425-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/1/kislorod/Pulsoksimetr/MD300C12/MD300C12.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/kislorod/Pulsoksimetr/MD300C12/MD300C12 new.JPG
"Монитор прикроватный многофункциональный медицинский ""Armed"" PC-9000b (с Nellcor-датчиками)",Да,41045,33711dae-8c43-11e5-9425-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/1/hirurgiya/monitor i pulsu vet/PC-9000b nellcor/PC-9000B.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/hirurgiya/monitor i pulsu vet/PC-9000b nellcor/PC-9000B.jpg
"Облучатель-рециркулятор медицинский ""Armed"" СH111-115 (пластиковый корпус) (зеленый, с таймером)",Да,41046,0eea866f-982f-11e5-9425-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/1/dezinfekciya/111-115 plastic zelenui s taimerom/111-115_зел.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/dezinfekciya/111-115 plastic zelenui s taimerom/111-115_зел.jpg
"Облучатель-рециркулятор медицинский ""Armed"" СH111-115 (пластиковый корпус) (голубой, с таймером)",Да,41047,4439c85d-982f-11e5-9425-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/1/dezinfekciya/111-115 plastic goluboi s taimerom/111-115_гол.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/dezinfekciya/111-115 plastic goluboi s taimerom/111-115_гол.jpg
"Облучатель-рециркулятор медицинский ""Armed"" СH111-115 (пластиковый корпус) (оранжевый, с таймером)",Да,41049,b5ebc157-9ff9-11e5-9425-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/1/dezinfekciya/111-115 plastic orang s taimerom/111-115_орн.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/dezinfekciya/111-115 plastic orang s taimerom/111-115_орн.jpg
"Оборудование лабораторное: микроскоп, модель XT-45B",Да,41050,63f1139c-aad2-11e5-9425-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/1/laboratornoe/mikroskop/XT-45B/XT-45B.jpg
"Оборудование лабораторное: микроскоп, модель XT-45Т",Да,41051,7f799477-aad2-11e5-9425-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/1/laboratornoe/mikroskop/XT-45T/XT-45T.jpg
Компрессор поршневой ZW-30/2-A для концентратора кислорода 7F-3L,Да,41053,8446c3cd-b84a-11e5-9425-b8ca3aeddcd6,,"https://www.armed.ru/images/catalog/zapchasti/konzentratory/7F-3L/Компрессор поршневой, артикул ZW-30.2-A.jpg"
Маска (кислородная) размер: S,Да,41055,7ce2b179-b857-11e5-9425-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/1/kislorod/maski/maska S/s.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/kislorod/maski/maska S/s.jpg
"Матрац односекционный, с чехлом из водоотталкивающей ткани, Торговой марки ""Armed""",Да,41060,563b8c77-d47f-11e5-9425-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/2/Matras/1 sekcionniu/Матрац 1 с чехлом из водоотталкивающей ткани.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/2/Matras/1 sekcionniu/Матрац 1 с чехлом из водоотталкивающей ткани.jpg
"Концентратор кислорода ""Armed"" 8F-1 (бук)",Да,41061,99c63298-acaa-11e6-942d-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/1/kislorod/Koncentrator/8F-1 BYK/8F-1 (БУК).jpg
"Матрац двухсекционный, с чехлом из водоотталкивающей ткани, Торговой марки ""Armed""",Да,41062,b2f40b1b-deb3-11e5-9427-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/2/Matras/2 sekcionniu/Матрац 2 с чехлом из водоотталкивающей ткани.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/2/Matras/2 sekcionniu/Матрац 2 с чехлом из водоотталкивающей ткани.jpg
К-430_5м_Трубка трикотажная мерная 5 м ЧУЛОК,Да,41063,5755fa8c-dec3-11e5-9427-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/3/ortez/430-чулок.jpg
Кушетка для массажа серии Профи,Да,41066,5ddaa3d5-ec0c-11e5-9427-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/2/massagnue stolu/Профи/ПРОФИ.jpg,https://www.armed.ru/images/catalog/FOTO mini/2/massagnue stolu/Профи/ПРОФИ.jpg
Кресло-коляска для инвалидов Н 035 (14 дюймов) S,Да,41068,23873185-afd9-11e6-942d-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/H035/035.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/H035/035.jpg
Массажер для ног: модель DJL-K816A,Да,41070,d0df0d55-138c-11e6-9427-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/4/massagnue nakidki/816a/fr/DSC_3996.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/4/massagnue nakidki/816a/fr/DSC_3996.jpg
Массажер для тела: модель DJL-RD01,Да,41071,09f232ff-9cef-11e6-942c-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/4/massagnue nakidki/rd01/DSC_6544.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/4/massagnue nakidki/rd01/DSC_6544.jpg
Массажер для тела: модель KB-6060B,Да,41072,1e0498fd-9cef-11e6-942c-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/4/massagnue nakidki/6060b/DSC_6501.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/4/massagnue nakidki/6060b/DSC_6501.jpg
Поручень ПС,Да,41073,1047d1fc-1c2d-11e6-9427-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/4/poruchni/73518/73518.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/4/poruchni/73518/73518.jpg
"Кресло-коляска для инвалидов: H 003 (17, 18 дюймов)",Да,41119,0c304317-27c9-11e6-9427-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/H003/003 (1).jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/H003/003 (1).jpg
"Кресло-коляска для инвалидов: 3000 (17, 18, 19 дюймов)",Да,41120,e68b8d02-27ca-11e6-9427-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/3000/_3000.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/3000/_3000.jpg
Рейлинг правый к кровати,Да,41121,910c14f9-33c3-11e6-9427-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/zapchasti/Медицинская мебель и сопутствующие товары/Кровати механические/RS105-B/рейлинг боковой правый RS105B.jpg
Рейлинг левый к кровати,Да,41122,db0b8fa1-33c3-11e6-9427-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/zapchasti/Медицинская мебель и сопутствующие товары/Кровати механические/RS105-B/рейлинг боковой левый RS105B.jpg
Матрас противопролежневый (Ячеистый),Да,41123,817381bc-3d2e-11e6-9427-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/4/matras/Yacheistui (Yuwell)/Матрас_противопролежневый_ячеистый_1.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/4/matras/Yacheistui (Yuwell)/Матрас_противопролежневый_ячеистый_1.jpg
"Палки для скандинавской ходьбы т.м. ""Armed"": STC031",Да,41124,99b9e9a1-40fd-11e6-9427-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/3/Palki dlya skand hodbu/STC031/STC031_IMG_6829.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/Palki dlya skand hodbu/STC031/STC031_0001.jpg
"Палки для скандинавской ходьбы т.м. ""Armed"": STC032",Да,41125,050fd749-40ff-11e6-9427-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/3/Palki dlya skand hodbu/STC032/STC032_IMG_6835.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/Palki dlya skand hodbu/STC032/STC032_0001.jpg
К-503 Фиксатор плеча (кольца Дельбье),Да,41160,93d85991-db0c-11e6-942e-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Ortez/K-503/K503.jpg
"К-614 Корсет ш.35 см.,ортопедический поясничный, усиленный ( с ребрами жесткости )",Да,41161,4512a7f3-db0e-11e6-942e-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Ortez/К-614/К-614_osn.jpg
"Кресло-коляска для инвалидов ""Armed"" FS907LABH",Да,41209,873d43ff-64f6-450a-9a68-afa31043c43c,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/FS907LABH/907.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/FS907LABH/907.jpg
"Коктейлер (сосуд) кислородный ""Armed"" LDPE BAG",Да,41210,b6fe35e8-c61f-45cd-9adf-2fa4db1ece32,https://www.armed.ru/images/catalog/FOTO mini/white/1/kislorod/Kokteiler/LDPE BAG/LDPE-BAG.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/kislorod/Kokteiler/LDPE BAG/LDPE_BAG_osn.jpg
Купол большой для светильника ZMD,Да,41211,709e11b9-c9bb-11e2-9c34-00259018c255,,
Купол малый для светильника ZMD,Да,41212,709e11be-c9bb-11e2-9c34-00259018c255,,
Купол большой для светильника 6612,Да,41215,a6493d3f-c9e6-11e2-9c34-00259018c255,,
Купол малый для светильника 6612,Да,41216,a6493d45-c9e6-11e2-9c34-00259018c255,,
Купол малый для светильника 6612 с пультом,Да,41219,a6493d54-c9e6-11e2-9c34-00259018c255,,
Купол от светильника 735,Да,41221,a6493d66-c9e6-11e2-9c34-00259018c255,,
"Маска, вариант исполнения Full Face Mask, размер М",Да,41272,90cf28a0-1e7b-11e6-9427-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/1/kislorod/maski/full face/маска Full Face Mask.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/kislorod/maski/full face/маска Full Face Mask.jpg
"Маска, вариант исполнения Vio, размер М",Да,41273,d171c50e-1e7b-11e6-9427-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/1/kislorod/maski/Vio/маска Vio.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/kislorod/maski/Vio/маска Vio.jpg
"Кресло-коляска для инвалидов ""Armed"": FS258LBJGP",Да,41275,db966658-afd9-11e6-942d-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/FS258LBJGP/FS258LBJGP.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/FS258LBJGP/FS258LBJGP.jpg
"Кресло-коляска для инвалидов ""Армед"": ФС111А",Да,41282,0473a863-f503-11e6-942e-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/ФС111А/фс111.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/ФС111А/фс111.jpg
Помпа шприцевая инфузионная SK-500II с принадлежностями (с расширенными функциями),Да,41285,429a6da3-c372-11e6-942d-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/1/hirurgiya/Dozator/SK-500II/SK-500II_osn.jpg
"Облучатель-рециркулятор медицинский ""Armed"" СH111-115 (металлический корпус) (бронза)",Да,41286,e53ebce1-c6a1-11e6-942e-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/1/dezinfekciya/111-115 bronza taimer/111-115 бронза_.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/dezinfekciya/111-115 bronza taimer/111-115_мет_бронза_0010.jpg
"Облучатель-рециркулятор медицинский ""Armed"" СH111-115 (металлический корпус) (серебро)",Да,41287,0c1e0081-c6a2-11e6-942e-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/1/dezinfekciya/111-115 serebro taimer/111-115 серебро_.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/dezinfekciya/111-115 serebro taimer/111-115_мет_серебро копия.jpg
"Кровать медицинская функциональная механическая ""Армед"": РС105-Б",Да,41501,0ee73fed-c77f-11e6-942e-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/2/Krovat/РС105Б/РС105-Б_osn.jpg
"Кресло инвалидное с санитарным оснащением ""АРМЕД"": Н020В",Да,41502,48aab2b9-b301-11e6-942d-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/3/tualet/Н020В Росс/Н020В.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/tualet/Н020В Росс/Н020В.jpg
Пульсоксиметр серии MD300 с принадлежностями: MD300M,Да,41505,be900c05-2255-11e6-9427-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/1/hirurgiya/monitor i pulsu vet/MD300M/пульсоксиметр MD300C.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/hirurgiya/monitor i pulsu vet/MD300M/пульсоксиметр MD300C.jpg
"Кресло инвалидное с санитарным оснащением ""АРМЕД"": ФС810",Да,41509,b9a833c7-aa68-11e6-942c-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/3/tualet/ФС810/ФС810.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/tualet/ФС810/ФС810.jpg
"Облучатель-рециркулятор медицинский ""Armed"" СH111-130 (металлический корпус) (серебро)",Да,46887,699f0213-07c1-11e7-942e-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/1/dezinfekciya/111-130 serebro taimer/111-130_мет_серебро.jpg
Каталог для магазинов,Да,52650,faad4d9f-c358-11e6-942d-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/Reclama/Katalog magazin/1-Каталог для магазинов.jpg
К-300 Бандаж детский пупочный противогрыжевый,Да,41026,e8ef3696-603b-11e5-9425-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Ortez/K-300/К-300-1.jpg
L 0105 Мяч для фитнеса 5 см красный,Да,41031,5bead6bd-70c1-11e5-9425-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Myachi/L0105/L0105 красный.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Myachi/L0105/L0105 красный.jpg
L 0107 Мяч для фитнеса 7 см зеленый,Да,41032,6c83f1a1-70c1-11e5-9425-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Myachi/L0107/L0107 зеленый.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Myachi/L0107/L0107 зеленый.jpg
L 0108 Мяч для фитнеса 8 см желтый,Да,41033,7e81b9c3-70c1-11e5-9425-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Myachi/L0108/L0108 желтый.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Myachi/L0108/L0108 желтый.jpg
L 0165b Мяч гимнастический для фитнеса с 65 см,Да,41034,ccccd199-70c1-11e5-9425-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Myachi/L0165b/L0165b_osn.jpg
L 0300 F Мяч для тренировки кисти яйцевидной формы жесткий синий,Да,41035,05aa74f8-70c2-11e5-9425-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Myachi/L0300F sinii/2017-01-10-Armed0873.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Myachi/L0300F sinii/2017-01-10-Armed0873.jpg
L 0300 М Мяч для тренировки кисти яйцевидной формы полужесткий зеленый,Да,41036,25741089-70c2-11e5-9425-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Myachi/L0300M zelenui/2017-01-10-Armed0870.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Myachi/L0300M zelenui/2017-01-10-Armed0870.jpg
L 0300 S Мяч для тренировки кисти яйцевидной формы мягкий оранжевый,Да,41037,4dced4dd-70c2-11e5-9425-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Myachi/L0330S orangevui/2017-01-10-Armed0874.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Myachi/L0330S orangevui/2017-01-10-Armed0874.jpg
F 2911 Корректор для двух пальцев,Да,41038,a5f2f62e-70c7-11e5-9425-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Ortez/F2911/F 2911.jpg
F 2910 Корректор для одного пальца,Да,41048,88f2e116-9cd8-11e5-9425-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Ortez/F2910/2017-01-10-Armed0888.jpg
F 8027_Подушка ортопед. под ноги для профилактики и лечения варикоз.болезни,Да,41054,6d536b52-bd23-11e6-942d-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Podyshki/F8027/F8027.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Podyshki/F8027/F8027.jpg
Зонд аспирационный,Да,41056,dd85df81-b857-11e5-9425-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/1/hirurgiya/zond/DSC_4189.jpg
